x,y,z,aream2,_CLASE
-86.95489095,20.7391768,-3.7,122.216208,Corals
-86.95587821,20.73510218,-5.8,315.285812,S&B
-86.95436383,20.73609256,-8,87.29716,S&B
-86.95607731,20.73638397,-5.7,69.838885,S&B
-86.95424592,20.73636843,-8.4,104.756438,S&B
-86.9545153,20.73659416,-8,226.972808,S&B
-86.95619487,20.73710162,-6,177.466413,S&B
-86.95647556,20.73810941,-5.8,331.735299,S&B
-86.95603965,20.7385775,-5.3,139.677344,S&B
-86.9564207,20.73865411,-5.6,63.929236,S&B
-86.95571039,20.73893432,-5,1047.57603,S&B
-86.95505735,20.73910359,-3.8,139.675903,S&B
-86.95581715,20.73920311,-4.5,314.273126,S&B
-86.954541,20.73584409,-7.1,471.405671,Octocorals
-86.95459004,20.73629988,-8.1,331.729843,Octocorals
-86.95452987,20.73653085,-8,349.189038,Octocorals
-86.95445778,20.73669799,-8,349.188699,Octocorals
-86.95436741,20.73697458,-7.7,296.810048,Octocorals
-86.95534771,20.73502839,-5,34.919248,Corals
-86.95565502,20.73524533,-5.2,34.919345,Corals
-86.9549248,20.73600416,-5.8,34.919061,Corals
-86.95573158,20.73618509,-4.9,34.919331,Corals
-86.95527052,20.73622111,-5.2,34.919171,Corals
-86.95576993,20.7364381,-5,34.919334,Corals
-86.95494387,20.73647403,-5.9,52.378571,Corals
-86.95580833,20.7365104,-4.7,34.919344,Corals
-86.95457884,20.73658237,-8.2,34.918918,Corals
-86.95457882,20.73665466,-8.3,34.918915,Corals
-86.95450195,20.73676307,-8.1,34.918884,Corals
-86.95561613,20.73683565,-5.1,34.919264,Corals
-86.95523192,20.73683555,-5.5,34.919132,Corals
-86.95396401,20.7369075,-8.3,34.918693,Corals
-86.95438663,20.73694375,-7.5,34.918837,Corals
-86.95527023,20.73723314,-5.2,34.919128,Corals
-86.95530863,20.73730543,-5.2,34.919138,Corals
-86.95542388,20.73734161,-5.3,34.919176,Corals
-86.95527014,20.73752229,-5.5,34.919116,Corals
-86.95440691,20.7380033,-5.6,52.378198,Corals
-86.95598855,20.73811213,-5,209.516032,Corals
-86.95465661,20.73814794,-5.1,34.918878,Corals
